latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,
6.924429,79.90725,4,19800,Asia/Colombo,GMT+5:30,,,,,,,
,,,,,,,,,,,,
time,relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),rain_sum (mm),precipitation_sum (mm),weather_code (wmo code)
6/2/2007,83,94,73,30.2,25.9,33.5,37,31.9,28,1.9,1.9,51
6/3/2007,84,93,76,30.2,26,33.5,36.3,32,27.9,2.5,2.5,53
6/4/2007,83,94,73,30.5,25.5,33.7,38.2,31.1,27.9,3.5,3.5,61
6/5/2007,87,95,80,29.7,24.9,32.7,36.6,30.3,27.1,5.6,5.6,61
6/6/2007,89,94,83,28.6,25.3,31.7,34.4,30.4,26.6,8,8,61
6/7/2007,90,94,78,28.1,25.1,30.8,32.7,29.1,26.1,16.8,16.8,63
6/8/2007,88,95,76,28.8,24.9,30.7,33.6,29,26.2,14,14,63
6/9/2007,88,93,82,29.4,24.8,31.6,35.7,28.9,26.7,9.5,9.5,63
6/10/2007,88,93,79,28.5,25.1,31.2,33.6,29.5,26.5,16.6,16.6,63
6/11/2007,90,94,81,28.8,25.1,31.3,33.9,29.6,26.4,16.8,16.8,63
6/12/2007,88,94,77,29.3,25,31.5,34.9,29.4,26.6,21.7,21.7,63
6/13/2007,86,91,77,29.4,25.4,31.8,34.7,29.2,27.1,18.7,18.7,63
6/14/2007,89,94,81,28.2,25.1,31.5,33.1,29.8,26.4,41.7,41.7,63
6/15/2007,91,96,81,27.9,24.5,30.8,32.4,29.4,25.7,29.2,29.2,63
6/16/2007,87,94,78,28.5,24.8,31.3,33,29.4,26.6,26.4,26.4,63
6/17/2007,87,94,79,28.9,24.9,31.9,35.3,29.9,26.8,7.3,7.3,55
6/18/2007,85,95,71,28.2,25.1,31.2,32.8,29.8,26.5,11.7,11.7,63
6/19/2007,87,94,80,29,25.3,32,34.1,30.8,26.8,8,8,55
6/20/2007,91,94,84,27.3,24.9,29.7,31.5,28.1,25.5,35.8,35.8,63
6/21/2007,92,94,87,27.3,24.8,29.1,31.6,27.6,25.5,33.5,33.5,63
6/22/2007,89,93,80,28.6,24.5,30,33.7,26.9,25.9,23.1,23.1,63
6/23/2007,91,97,81,27.9,24.6,30.7,32.8,29.2,25.8,9.6,9.6,55
6/24/2007,89,97,75,29.5,23.9,32.6,36.9,29.1,26.6,1.3,1.3,51
6/25/2007,90,96,84,29.3,25.1,32.9,37.1,30.9,26.9,5,5,61
6/26/2007,85,94,74,29.1,25.5,31.9,33.9,31,27,2.9,2.9,53
6/27/2007,84,90,77,29,26.3,31.7,33.1,31,27.4,3.7,3.7,51
6/28/2007,88,93,79,28.4,25.5,31.1,32.3,30,26.6,4.1,4.1,55
6/29/2007,90,94,85,28.7,25.2,31.5,34.5,30.1,26.5,3,3,53
6/30/2007,89,95,81,29.2,24.6,31.4,35.6,29.1,26.5,3.7,3.7,55
7/1/2007,87,94,78,29.2,24.7,31.6,35.3,29.4,26.7,4.5,4.5,53
7/2/2007,90,94,85,28.3,25.1,31.3,33.9,30,26.4,6.9,6.9,61
7/3/2007,90,94,82,29.5,24.9,31.8,36.8,29.3,26.5,17.5,17.5,63
7/4/2007,90,95,82,29.6,25,32.4,37.4,29.9,26.7,8.9,8.9,61
7/5/2007,88,93,82,29.2,25.4,32.4,36.2,30.4,27,4.9,4.9,53
7/6/2007,89,95,79,29.2,25.1,31.7,35.1,29.6,26.7,7.2,7.2,53
7/7/2007,84,93,72,29.5,25.3,32,35.5,30,27.2,3.6,3.6,53
7/8/2007,88,96,81,29.2,24.9,32.1,36.2,29.9,26.8,2.5,2.5,53
7/9/2007,88,93,77,29.3,24.8,32,36.2,29.7,26.6,3.9,3.9,53
7/10/2007,90,95,81,27.9,24.8,30.8,33.2,29.4,26,4.5,4.5,53
7/11/2007,90,94,80,28,24.7,30.3,33.3,28.4,25.8,9.2,9.2,61
7/12/2007,89,94,78,28.3,24.4,30.3,33.1,28.7,25.9,9.2,9.2,61
7/13/2007,88,94,77,28.7,24.5,30.7,33.1,28.7,26.2,7.3,7.3,55
7/14/2007,88,94,78,29,25.2,31.7,35,30.2,26.8,4,4,53
7/15/2007,86,93,77,29.2,25.2,31.8,35.2,30.2,26.9,4.8,4.8,53
7/16/2007,90,94,85,28.3,24.9,31.1,34,29.9,26.3,15.5,15.5,63
7/17/2007,90,94,84,28.3,24.8,31.1,33.7,29.5,26.2,27,27,63
7/18/2007,87,92,83,27.8,25.3,31.2,33.2,30.1,26.5,15.1,15.1,63
7/19/2007,90,94,80,28.4,24.4,29.8,33.9,27.3,25.5,22.6,22.6,63
7/20/2007,89,94,82,26.6,24.1,29.6,30.9,27.2,25.2,18.4,18.4,63
7/21/2007,87,94,78,28.5,24.1,30.8,34.2,28.6,26.1,4.4,4.4,55
7/22/2007,84,87,79,27.2,25.2,30,31.3,28.8,26,11.3,11.3,63
7/23/2007,88,96,78,28.3,24.3,30.8,34.2,29.2,25.8,19.2,19.2,63
7/24/2007,92,96,86,26.2,23.9,29.5,31,28.1,24.8,19.1,19.1,61
7/25/2007,89,95,76,27.4,23.7,29.8,31.7,27.6,25.2,15.3,15.3,61
7/26/2007,87,95,76,28.4,22.7,29.4,33.5,26.8,25.3,7.7,7.7,61
7/27/2007,87,93,81,28.5,24.2,30.8,34.4,28.5,26.1,2.1,2.1,53
7/28/2007,86,91,77,28.6,24.8,31,35.1,29.2,26.3,1.4,1.4,51
7/29/2007,85,90,79,28.5,25,30.7,34.3,29.2,26.3,2.8,2.8,51
7/30/2007,87,91,82,28.6,24.9,31.3,34.6,29.5,26.4,2.9,2.9,51
7/31/2007,88,93,78,28.1,24.5,30.3,32.7,28.1,26,3.8,3.8,53
8/1/2007,84,91,77,28.3,24.4,30.2,32.8,28,26.3,2.5,2.5,53
8/2/2007,87,92,77,28.4,24.2,30.1,33.3,28.3,26,5.1,5.1,61
8/3/2007,88,95,79,28.1,23.9,30.5,34.4,27.9,26,1.3,1.3,51
8/4/2007,85,92,78,28.7,24.6,30.6,34,28.8,26.4,1.6,1.6,51
8/5/2007,88,93,82,28.8,24.8,30.9,34.6,29.2,26.4,6.3,6.3,55
8/6/2007,84,92,72,29.3,25.5,31.7,34.9,30.2,27,2.2,2.2,51
8/7/2007,83,91,71,29.3,25.3,31.8,34,30.6,27.1,2,2,51
8/8/2007,87,94,78,29.3,25,32.2,36.4,30.3,26.9,1.9,1.9,53
8/9/2007,87,94,82,29.3,24.9,32.2,36.6,30.1,26.8,3.1,3.1,53
8/10/2007,89,95,83,27.3,24.7,30.3,31.7,29.6,25.8,27.9,27.9,63
8/11/2007,84,90,75,28.8,25.5,30.9,33.2,29.8,26.8,4.3,4.3,53
8/12/2007,87,90,78,28.9,25.4,31.8,35.1,29.5,26.8,4.4,4.4,53
8/13/2007,87,91,82,28.5,24.9,31.2,33.9,29.4,26.5,2,2,51
8/14/2007,84,90,72,28.9,25.5,31.4,34.6,30.1,26.8,2.6,2.6,51
8/15/2007,85,95,73,28.5,24.4,30.7,32.6,29.4,26.3,2.7,2.7,53
8/16/2007,86,94,75,28.4,24.8,31,32.9,29.7,26.4,1.9,1.9,51
8/17/2007,88,94,79,28.4,24.5,31.1,34.2,29.1,26.3,1.3,1.3,51
8/18/2007,88,93,83,28.5,24.9,31.4,34.4,29.7,26.5,2.8,2.8,53
8/19/2007,87,94,78,28.7,24.3,30.8,34.9,28.5,26.2,6.8,6.8,55
8/20/2007,87,93,82,28.9,25.2,31.8,34.6,30.1,26.7,2.4,2.4,51
8/21/2007,86,92,80,28,25.3,31,34.2,30,26.4,14.4,14.4,63
8/22/2007,85,91,79,28.5,25.2,31,34.1,29.6,26.5,5.3,5.3,55
8/23/2007,85,89,78,28.8,25.1,31.2,34,30.2,26.5,4.9,4.9,55
8/24/2007,87,95,78,28.1,24.4,31,33.1,29.3,26.1,12.4,12.4,61
8/25/2007,89,94,83,26.8,24.3,29.6,30.8,28.6,25.3,14.2,14.2,61
8/26/2007,87,94,80,28.4,23.9,30.2,34,28.2,25.8,9.1,9.1,63
8/27/2007,87,94,76,28.9,24.1,30.9,35.1,28.7,26.2,3.5,3.5,53
8/28/2007,90,94,84,28.3,24.5,30.7,34.4,28.3,26,3.7,3.7,53
8/29/2007,90,94,82,27.9,23.9,30.2,34.1,27.8,25.7,11.5,11.5,61
8/30/2007,90,95,80,27.5,24.2,29.5,32.2,28,25.5,19.9,19.9,63
8/31/2007,91,95,83,26.8,24,29.3,31.3,27.7,25.1,27.4,27.4,63
9/1/2007,86,93,70,28.9,24.5,30.4,33.4,28.6,25.9,4.9,4.9,55
9/2/2007,90,96,83,27.8,24.3,30.4,33.1,28.5,25.8,18,18,63
9/3/2007,89,95,81,28.9,24.5,31.6,35.2,29,26.4,3.9,3.9,53
9/4/2007,85,93,77,29.1,24.8,31.6,35.4,29.5,26.8,1.4,1.4,51
9/5/2007,87,92,80,28.7,24.3,30.5,34.3,28.3,26,18.7,18.7,63
9/6/2007,85,94,77,28,24.4,30.6,32.4,28.6,26.2,14.2,14.2,63
9/7/2007,87,95,75,29.3,23.9,31.6,36.2,28.6,26.3,14.8,14.8,61
9/8/2007,91,97,83,27.3,23.3,29.9,32.4,27.6,25.3,16,16,63
9/9/2007,89,94,80,27.7,24.5,30.3,34.1,28.8,25.5,14.2,14.2,63
9/10/2007,84,92,73,29,23.6,30.6,34.2,27.6,26.1,2.5,2.5,61
9/11/2007,86,93,74,28.6,24.3,30.3,33,28.6,26.1,3.3,3.3,53
9/12/2007,89,95,80,27.4,23.8,29.9,33.2,28,25.5,9.8,9.8,61
9/13/2007,87,92,81,29.3,24.7,31.4,36.7,28.2,26.4,10,10,63
9/14/2007,88,95,78,28.9,24.5,30.8,34,28.3,26.2,16.5,16.5,61
9/15/2007,86,92,81,28.1,25.1,31,32.8,29.2,26.5,8.2,8.2,63
9/16/2007,87,92,81,28.1,25.5,30.5,32,29.6,26.4,17,17,63
9/17/2007,91,94,82,27.9,24.8,29.8,32.7,28.5,25.8,14.9,14.9,61
9/18/2007,90,95,82,28,24.3,29.9,32.2,28.1,25.8,14.8,14.8,61
9/19/2007,89,95,82,27.7,24.2,29.7,31.4,27.6,25.8,12.4,12.4,61
9/20/2007,90,95,84,27.6,24.8,30.1,32.2,28.8,25.9,16.1,16.1,61
9/21/2007,88,94,83,28.2,24.9,30.6,33.4,28.8,26.2,11.8,11.8,61
9/22/2007,89,93,79,28.1,24.7,30,32.2,28.3,25.9,7.8,7.8,61
9/23/2007,89,94,76,28.5,24.7,31,33.5,28.6,26.2,12.2,12.2,61
9/24/2007,88,96,80,29.4,24.6,32,36.6,29.7,26.7,7.8,7.8,53
9/25/2007,89,97,80,29.2,24.5,31.7,37.1,29.7,26.3,4.6,4.6,63
9/26/2007,86,93,78,29.2,24.6,31.8,35.5,29.4,26.7,2.4,2.4,51
9/27/2007,88,93,81,29.2,24.6,31.7,35.9,29.3,26.6,3.6,3.6,53
9/28/2007,89,96,81,27.7,24.4,30.3,33,28.6,25.7,10.3,10.3,63
9/29/2007,86,95,73,29.2,23.9,31.1,34.2,28.4,26.5,6.6,6.6,61
9/30/2007,81,88,71,29.2,25.4,31.2,33.6,30,27.1,2.5,2.5,51
10/1/2007,84,89,78,28.6,25.8,31,33.2,29.7,26.9,3.9,3.9,53
10/2/2007,89,95,83,27,24.5,30,31,28.1,25.8,15.2,15.2,63
10/3/2007,91,95,85,26.8,24.2,30.1,31.3,28.6,25.6,7.5,7.5,55
10/4/2007,87,93,79,28.2,25,30.7,32.8,29.5,26.3,6.3,6.3,55
10/5/2007,90,95,78,27.8,24.5,29.8,32.6,28.6,25.6,16,16,63
10/6/2007,88,96,81,27.2,24.2,29.6,31.4,28.1,25.4,8.6,8.6,53
10/7/2007,89,94,77,28.3,23.9,29.9,33,28.2,25.5,17.4,17.4,63
10/8/2007,91,95,83,26.7,23.9,29.4,31.4,27.9,25.1,17.9,17.9,63
10/9/2007,89,95,83,28.7,24.2,31.3,35.7,28.7,26.1,1.3,1.3,51
10/10/2007,88,94,81,28.7,23.7,30.7,35.1,28.2,26,1.1,1.1,51
10/11/2007,90,93,84,27.8,23.6,29.3,33.4,27.3,25,9.2,9.2,63
10/12/2007,88,96,77,28.4,23.7,30.5,34.5,28.4,25.7,7.9,7.9,61
10/13/2007,88,95,75,29.1,23.5,30.8,34.6,28.2,25.9,5.3,5.3,61
10/14/2007,88,96,75,28.7,23.4,30.7,34.3,27.9,25.8,10.7,10.7,61
10/15/2007,92,97,80,28.3,24,30.9,35.8,29.1,25.4,11.7,11.7,63
10/16/2007,89,96,79,28.3,24,30.8,34.4,29.2,25.6,8.1,8.1,61
10/17/2007,90,95,81,28.5,23.7,29.8,34.6,27.5,25.1,14.8,14.8,63
10/18/2007,91,95,84,26.3,23.6,29.5,32.1,27.8,24.8,17.6,17.6,61
10/19/2007,89,95,78,28.3,23.9,30.2,34.1,28.2,25.4,9.4,9.4,63
10/20/2007,91,95,83,26.3,23.9,29.4,30.3,28.2,24.7,28.2,28.2,63
10/21/2007,86,94,76,28.2,23.9,30.4,32.2,28.6,25.7,5,5,53
10/22/2007,88,94,76,28.1,24,30.7,32.7,28.5,25.7,14.5,14.5,61
