district,week_start_date,cases,tmax,tmin,app_tmax,app_tmin,humidity,rainfall,precipitation,year,month,week_of_year,sin_week,cos_week,tmean,rainfall_feat,cases_lag_1,cases_lag_2,cases_lag_3,cases_lag_4,rainfall_lag_2,rainfall_lag_3,rainfall_lag_4,rainfall_lag_5,rainfall_lag_6,rainfall_lag_8,temp_lag_1,humidity_lag_1,temp_lag_2,humidity_lag_2,temp_lag_3,humidity_lag_3,temp_lag_4,humidity_lag_4,rolling_mean_2,rolling_mean_4,rolling_std_4,rate_of_change,percentage_change,rainfall_anomaly,temperature_anomaly,humidity_anomaly,is_sw_monsoon,is_ne_monsoon,is_inter_monsoon,monsoon_season,outbreak_label
Puttalam,2015-07-20,5,28.97142857142857,26.15714285714285,32.74285714285715,29.25714285714286,82.14285714285714,13.3,13.3,2015,7,30,-0.464723172043768,-0.8854560256532101,27.564285714285717,13.3,30.0,4.0,12.0,0.0,9.3,17.5,25.0,27.2,14.8,23.2,27.84285714285714,82.85714285714286,27.92142857142857,81.57142857142857,27.8,84.57142857142857,27.835714285714285,84.28571428571429,17.5,12.75,12.038133853162911,-25.0,-0.8333333333333334,-0.7064102564102566,-0.0891025641025677,0.098901098901095,1,0,0,SW,0
Puttalam,2015-07-27,1,29.32857142857143,26.014285714285712,33.15714285714286,29.642857142857142,79.28571428571429,2.9,2.9,2015,7,31,-0.5680647467311556,-0.8229838658936566,27.67142857142857,2.9,5.0,30.0,4.0,12.0,11.9,9.3,17.5,25.0,27.2,35.1,27.564285714285717,82.14285714285714,27.84285714285714,82.85714285714286,27.92142857142857,81.57142857142857,27.8,84.57142857142857,3.0,10.0,13.441230102437313,-4.0,-0.8,-11.106410256410255,0.0180402930402898,-2.758241758241752,1,0,0,SW,0
Puttalam,2015-08-03,3,29.542857142857144,26.071428571428573,33.42857142857143,29.3,80.57142857142857,9.0,9.0,2015,8,32,-0.663122658240795,-0.7485107481711013,27.807142857142857,9.0,1.0,5.0,30.0,4.0,13.3,11.9,9.3,17.5,25.0,14.8,27.67142857142857,79.28571428571429,27.564285714285717,82.14285714285714,27.84285714285714,82.85714285714286,27.92142857142857,81.57142857142857,2.0,9.75,13.59840676942218,2.0,2.0,-11.736842105263158,0.3448308270676712,-1.7481203007518928,1,0,0,SW,0
Puttalam,2015-08-10,1,30.642857142857142,26.27142857142857,35.542857142857144,30.27142857142857,79.71428571428571,36.1,36.1,2015,8,33,-0.7485107481711011,-0.6631226582407952,28.457142857142856,36.1,3.0,1.0,5.0,30.0,2.9,13.3,11.9,9.3,17.5,27.2,27.807142857142857,80.57142857142857,27.67142857142857,79.28571428571429,27.564285714285717,82.14285714285714,27.84285714285714,82.85714285714286,2.0,2.5,1.9148542155127557,-2.0,-0.6666666666666667,15.363157894736844,0.9948308270676698,-2.605263157894754,1,0,0,SW,0
Puttalam,2015-08-17,2,29.75714285714286,25.61428571428572,35.58571428571428,30.071428571428573,83.57142857142857,27.0,27.0,2015,8,34,-0.8229838658936564,-0.5680647467311559,27.68571428571429,27.0,1.0,3.0,1.0,5.0,9.0,2.9,13.3,11.9,9.3,25.0,28.457142857142856,79.71428571428571,27.807142857142857,80.57142857142857,27.67142857142857,79.28571428571429,27.564285714285717,82.14285714285714,1.5,1.75,0.9574271077564964,1.0,1.0,6.2631578947368425,0.2234022556391046,1.2518796992481072,1,0,0,SW,0
Puttalam,2015-08-24,3,29.37142857142857,26.24285714285714,33.642857142857146,29.842857142857145,81.85714285714286,12.5,12.5,2015,8,35,-0.8854560256532096,-0.4647231720437691,27.807142857142857,12.5,2.0,1.0,3.0,1.0,36.1,9.0,2.9,13.3,11.9,17.5,27.68571428571429,83.57142857142857,28.457142857142856,79.71428571428571,27.807142857142857,80.57142857142857,27.67142857142857,79.28571428571429,2.5,2.25,0.9574271077564964,1.0,0.5,-8.236842105263158,0.3448308270676712,-0.462406015037601,1,0,0,SW,0
Puttalam,2015-08-31,1,29.74285714285714,25.67142857142857,34.82857142857143,29.828571428571426,83.0,19.9,19.9,2015,8,36,-0.9350162426854148,-0.3546048870425359,27.707142857142856,19.9,3.0,2.0,1.0,3.0,27.0,36.1,9.0,2.9,13.3,9.3,27.807142857142857,81.85714285714286,27.68571428571429,83.57142857142857,28.457142857142856,79.71428571428571,27.807142857142857,80.57142857142857,2.0,1.75,0.9574271077564964,-2.0,-0.6666666666666667,-0.8368421052631589,0.2448308270676698,0.6804511278195378,1,0,0,SW,0
Puttalam,2015-09-07,0,28.7,25.5,33.22857142857143,29.285714285714285,84.14285714285714,30.2,30.2,2015,9,37,-0.970941817426052,-0.2393156642875577,27.1,30.2,1.0,3.0,2.0,1.0,12.5,27.0,36.1,9.0,2.9,11.9,27.707142857142856,83.0,27.807142857142857,81.85714285714286,27.68571428571429,83.57142857142857,28.457142857142856,79.71428571428571,0.5,1.5,1.290994448735923,-1.0,-1.0,1.49444444444444,-0.2332341269841258,1.2738095238095184,1,0,0,SW,0
Puttalam,2015-09-14,1,29.085714285714285,26.071428571428573,33.371428571428574,29.385714285714283,84.42857142857143,27.2,27.2,2015,9,38,-0.992708874098054,-0.1205366802553235,27.57857142857143,27.2,0.0,1.0,3.0,2.0,19.9,12.5,27.0,36.1,9.0,13.3,27.1,84.14285714285714,27.707142857142856,83.0,27.807142857142857,81.85714285714286,27.68571428571429,83.57142857142857,0.5,1.25,1.258305739211912,1.0,inf,-1.50555555555556,0.2453373015873019,1.5595238095238102,1,0,0,SW,0
Puttalam,2015-09-21,1,29.414285714285715,25.642857142857142,34.957142857142856,29.82857142857143,85.42857142857143,29.9,29.9,2015,9,39,-1.0,-1.8369701987210294e-16,27.52857142857143,29.9,1.0,0.0,1.0,3.0,30.2,19.9,12.5,27.0,36.1,2.9,27.57857142857143,84.42857142857143,27.1,84.14285714285714,27.707142857142856,83.0,27.807142857142857,81.85714285714286,1.0,0.75,0.500000000000303,0.0,0.0,1.194444444444439,0.1953373015873012,2.55952380952381,1,0,0,SW,0
